Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/7/19,1,表,0,0,0,FALSE,FALSE,FALSE,,左,山本優人,右,ストレート,,7,1,ボール,FALSE,,,,,0,0,,
2025/7/19,1,表,1,0,0,FALSE,FALSE,FALSE,,左,山本優人,右,ストレート,,13,0,ファール,FALSE,,,,,0,0,,
2025/7/19,1,表,1,1,0,FALSE,FALSE,FALSE,,左,山本優人,右,ストレート,,12,0,ボール,FALSE,,,,,0,0,,
2025/7/19,1,表,2,1,0,FALSE,FALSE,FALSE,,左,山本優人,右,ストレート,,0,0,ファール,FALSE,,,,,0,0,,
2025/7/19,1,表,2,2,0,FALSE,FALSE,FALSE,,左,山本優人,右,スライダー,,12,0,ボール,FALSE,,,,,0,0,,
2025/7/19,1,表,3,2,0,FALSE,FALSE,FALSE,,左,山本優人,右,スライダー,,6,0,ファール,FALSE,,,,,0,0,,
2025/7/19,1,表,3,2,0,FALSE,FALSE,FALSE,,左,山本優人,右,ストレート,,14,0,ボール,FALSE,四球,,,,0,0,,
2025/7/19,1,表,0,0,0,TRUE,FALSE,FALSE,,左,淀川理久,左,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/7/19,1,表,1,0,0,TRUE,FALSE,FALSE,,左,淀川理久,左,ストレート,,7,0,見送,FALSE,,,,,0,0,,
2025/7/19,1,表,1,1,0,TRUE,FALSE,FALSE,,左,淀川理久,左,ストレート,,1,0,インプレー,FALSE,,犠打,ゴロ,投,1,0,,
2025/7/19,1,表,0,0,1,FALSE,TRUE,FALSE,,左,竹田龍汰,右,ストレート,,7,1,見送,FALSE,,,,,0,0,,
2025/7/19,1,表,0,1,1,FALSE,TRUE,FALSE,,左,竹田龍汰,右,ストレート,,3,0,インプレー,FALSE,,凡打,フライ,右,1,0,,V5
2025/7/19,1,表,0,0,2,FALSE,TRUE,FALSE,,左,加納誠琉,右,スライダー,,8,1,見送,FALSE,,,,,0,0,,
2025/7/19,1,表,0,1,2,FALSE,TRUE,FALSE,,左,加納誠琉,右,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/7/19,1,表,1,1,2,FALSE,TRUE,FALSE,,左,加納誠琉,右,ストレート,,4,0,見送,FALSE,,,,,0,0,,
2025/7/19,1,表,1,2,2,FALSE,TRUE,FALSE,,左,加納誠琉,右,スライダー,,7,0,ファール,FALSE,,,,,0,0,,
2025/7/19,1,表,1,2,2,FALSE,TRUE,FALSE,,左,加納誠琉,右,ストレート,,7,0,見送,FALSE,見三振,,,,1,0,,
2025/7/19,1,裏,0,0,0,FALSE,FALSE,FALSE,上野光大郎,右,,右,ストレート,,4,1,インプレー,FALSE,,凡打,ゴロ,三,1,0,,
2025/7/19,1,裏,0,0,1,FALSE,FALSE,FALSE,上野光大郎,右,,右,カーブ,,13,0,ボール,FALSE,,,,,0,0,,
2025/7/19,1,裏,1,0,1,FALSE,FALSE,FALSE,上野光大郎,右,,右,ストレート,,8,0,見送,FALSE,,,,,0,0,,
2025/7/19,1,裏,1,1,1,FALSE,FALSE,FALSE,上野光大郎,右,,右,ストレート,,2,0,インプレー,FALSE,,失策,ゴロ,遊,0,0,,
2025/7/19,1,裏,0,0,1,FALSE,TRUE,FALSE,上野光大郎,右,,左,チェンジ,,4,0,見送,FALSE,,,,,0,0,,
2025/7/19,1,裏,0,1,1,FALSE,TRUE,FALSE,上野光大郎,右,,左,カーブ,,12,0,ボール,FALSE,,,,,0,0,,
2025/7/19,1,裏,1,1,1,FALSE,TRUE,FALSE,上野光大郎,右,,左,ストレート,,11,0,ボール,FALSE,,,,,0,0,,
2025/7/19,1,裏,2,1,1,FALSE,TRUE,FALSE,上野光大郎,右,,左,ストレート,,0,0,空振,FALSE,,,,,0,0,,
2025/7/19,1,裏,2,2,1,FALSE,TRUE,FALSE,上野光大郎,右,,左,ストレート,,1,0,空振,FALSE,空三振,,,,1,0,,
2025/7/19,1,裏,0,0,2,FALSE,TRUE,FALSE,上野光大郎,右,,左,チェンジ,,13,0,ボール,FALSE,,,,,0,0,,
2025/7/19,1,裏,1,0,2,FALSE,TRUE,FALSE,上野光大郎,右,,左,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/7/19,1,裏,2,0,2,FALSE,TRUE,FALSE,上野光大郎,右,,左,ストレート,,7,0,見送,FALSE,,,,,0,0,,
2025/7/19,1,裏,2,1,2,FALSE,TRUE,FALSE,上野光大郎,右,,左,ストレート,,11,0,ボール,FALSE,,,,,0,0,,
2025/7/19,1,裏,3,1,2,FALSE,TRUE,FALSE,上野光大郎,右,,左,ストレート,,11,0,ボール,FALSE,四球,,,,0,0,,
2025/7/19,1,裏,0,0,2,TRUE,TRUE,FALSE,上野光大郎,右,,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/7/19,1,裏,1,0,2,TRUE,TRUE,FALSE,上野光大郎,右,,右,ストレート,,11,1,インプレー,FALSE,,凡打,フライ,左,1,0,,
2025/7/19,2,表,0,0,0,FALSE,FALSE,FALSE,,左,相上征士郎,右,スライダー,,2,0,インプレー,FALSE,,本塁打,フライ,左,0,1,,G7
2025/7/19,2,表,0,0,0,FALSE,FALSE,FALSE,,左,越野虎次郎,右,ストレート,,6,0,見送,FALSE,,,,,0,0,,
2025/7/19,2,表,0,1,0,FALSE,FALSE,FALSE,,左,越野虎次郎,右,ストレート,,0,0,インプレー,FALSE,,凡打,ライナー,二,1,0,,U3
2025/7/19,2,表,0,0,1,FALSE,FALSE,FALSE,,左,平澤秀太,右,,,0,0,インプレー,FALSE,,凡打,フライ,二,1,0,,
2025/7/19,2,表,0,0,2,FALSE,FALSE,FALSE,,左,渡辺健太郎,右,ストレート,,6,0,見送,FALSE,,,,,0,0,,
2025/7/19,2,表,0,1,2,FALSE,FALSE,FALSE,,左,渡辺健太郎,右,ストレート,,8,0,見送,FALSE,,,,,0,0,,
2025/7/19,2,表,0,2,2,FALSE,FALSE,FALSE,,左,渡辺健太郎,右,スライダー,,13,0,空振,FALSE,空三振,,,,1,0,,
2025/7/19,2,裏,0,0,0,FALSE,FALSE,FALSE,上野光大郎,右,,左,ストレート,,7,0,見送,FALSE,,,,,0,0,,
2025/7/19,2,裏,0,1,0,FALSE,FALSE,FALSE,上野光大郎,右,,左,ストレート,,1,0,インプレー,FALSE,,凡打,ゴロ,二,1,0,,
